geoid,ct,pop,households,grp_qtrs,inst,pop_u18,hisp,white,black,asian,other_race,multiracial,housing,occupied,vacant
36047000200,3000200,1205,1171,34,0,286,957,99,57,55,12,25,376,359,17
36047000301,3000301,3850,3776,74,0,657,238,3127,90,209,15,171,2466,1907,559
36047000501,3000501,4404,3403,1001,0,513,310,3329,107,433,28,197,2081,1893,188
36047000502,3000502,2640,2635,5,0,306,177,2057,75,201,8,122,1621,1512,109
36047000700,3000700,4415,4357,58,0,853,390,3188,131,378,28,300,2312,2099,213
36047000900,3000900,5167,4834,333,0,777,434,3565,188,613,49,318,2667,2462,205
36047001100,3001100,1578,1555,23,0,156,178,772,163,375,5,85,957,900,57
36047001300,3001300,2465,2046,419,0,248,276,1171,232,569,36,181,1388,1192,196
36047001501,3001501,5161,4959,202,0,898,997,1293,1279,1341,57,194,2417,2245,172
36047001502,3001502,5801,5448,353,0,593,608,2335,687,1804,46,321,3316,2941,375
36047001801,3001801,2563,0,2563,2562,0,734,898,874,21,1,35,4,0,4
36047001802,3001802,6,6,0,0,3,3,0,0,1,0,2,2,0,2
36047001803,3001803,16,11,5,0,4,5,5,0,4,1,1,3,3,0
36047001804,3001804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36047002000,3002000,1694,1560,134,0,405,1285,140,145,97,16,11,518,474,44
36047002100,3002100,5975,5975,0,0,1241,541,4113,220,638,61,402,2942,2717,225
36047002200,3002200,4589,4564,25,0,978,2813,761,193,682,75,65,1731,1661,70
36047002300,3002300,3940,3940,0,0,889,1128,69,1926,676,40,101,1526,1495,31
36047002901,3002901,3149,3042,107,0,697,886,103,1433,590,41,96,1385,1294,91
36047003000,3003000,1811,1811,0,0,349,380,966,30,336,29,70,759,708,51
36047003101,3003101,3395,2803,592,373,330,382,1176,830,743,32,232,1630,1551,79
36047003102,3003102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36047003300,3003300,4807,4777,30,0,699,652,2258,828,702,57,310,2730,2525,205
36047003400,3003400,3489,3468,21,0,732,543,2081,79,653,20,113,1501,1417,84
36047003500,3003500,2402,2350,52,0,310,260,1066,631,259,29,157,1314,1226,88
36047003600,3003600,3959,3936,23,0,662,660,2404,104,653,21,117,1916,1847,69
36047003700,3003700,4565,4543,22,0,528,453,2240,478,1083,58,253,2917,2628,289
36047003800,3003800,1529,1529,0,0,284,165,1054,16,203,17,74,732,683,49
36047003900,3003900,2644,2603,41,0,382,380,1419,351,273,33,188,1451,1353,98
36047004100,3004100,3398,3198,200,175,500,387,2184,290,318,20,199,1607,1480,127
36047004300,3004300,3810,3770,40,0,645,453,2428,233,424,31,241,1978,1831,147
36047004400,3004400,2448,2448,0,0,479,209,1938,20,213,10,58,1037,979,58
36047004500,3004500,3476,3476,0,0,592,263,2674,54,268,28,189,1806,1675,131
36047004600,3004600,1154,1154,0,0,239,110,892,8,100,6,38,474,444,30
36047004700,3004700,1951,1890,61,20,482,352,1143,191,124,19,122,850,799,51
36047004900,3004900,2412,2185,227,227,482,312,1604,173,167,32,124,1078,979,99
36047005000,3005000,2535,2526,9,0,473,298,1915,23,212,15,72,1150,1095,55
36047005100,3005100,2658,2656,2,0,679,402,1754,92,197,27,186,1199,1103,96
36047005201,3005201,1879,1862,17,0,232,142,1350,17,332,8,30,1204,1163,41
36047005202,3005202,2668,2644,24,0,399,264,2068,38,197,16,85,1514,1435,79
36047005301,3005301,2164,2142,22,0,443,466,1256,163,119,41,119,1037,941,96
36047005302,3005302,86,76,10,0,12,13,56,2,14,0,1,38,35,3
36047005303,3005303,0,0,0,0,0,0,0,0,0,0,0,69,2,67
36047005400,3005400,3426,3413,13,0,530,564,2347,53,349,19,94,1831,1708,123
36047005601,3005601,2692,2689,3,0,382,415,1907,44,235,33,58,1531,1452,79
36047005602,3005602,1734,1721,13,0,256,221,1264,20,168,13,48,1002,939,63
