ct,cd,pop,pop_u18,hisp,white,black,asian,other_race,multiracial,nta
36005012701,17,2184,520,1567,34,492,45,20,26,Longwood
36005012901,17,4923,1403,3044,86,1637,24,48,84,Longwood
36005013000,13,1198,222,670,349,116,46,5,12,Throgs Neck-Schuylerville
36005013100,17,5390,1547,3404,105,1687,57,63,74,Longwood
36005013200,13,6652,1298,3764,1573,756,382,84,93,Throgs Neck-Schuylerville
36005013300,17,6064,1527,3612,69,2194,32,58,99,Morrisania
36005013500,17,4001,1010,2062,50,1781,13,34,61,Morrisania
36005013800,13,3060,582,1029,1653,140,113,50,75,Throgs Neck-Schuylerville
36005014100,17,7344,2130,3846,149,3062,53,82,152,Morrisania
36005014300,16,1898,531,936,63,844,9,22,24,Concourse-Concourse Village
36005014400,13,6046,1550,3927,221,1641,123,63,71,Throgs Neck-Schuylerville
36005014500,16,7055,2067,3641,116,3107,11,45,135,Claremont Village-Claremont (East)
36005014701,16,6361,1978,3287,41,2884,6,41,102,Claremont Village-Claremont (East)
36005014702,16,5081,1543,2931,36,1985,6,45,78,Claremont Village-Claremont (East)
36005014900,17,4723,1154,2850,104,1617,12,55,85,Morrisania
36005015100,17,5957,1602,3164,123,2512,18,52,88,Morrisania
36005015200,13,2593,530,1538,664,207,88,58,38,Throgs Neck-Schuylerville
36005015300,17,4258,1060,2077,72,1919,77,47,66,Crotona Park East
36005015500,17,2891,659,2188,33,579,25,21,45,Crotona Park East
36005015700,17,5542,1633,3193,78,2087,45,75,64,Crotona Park East
36005015800,13,1442,260,775,513,72,40,13,29,Throgs Neck-Schuylerville
36005015900,17,2481,640,2054,23,341,16,13,34,Longwood
36005016000,13,4003,750,1513,1947,165,219,88,71,Throgs Neck-Schuylerville
36005016100,17,5243,1304,3322,116,1650,21,48,86,Crotona Park East
36005016200,13,1908,369,915,708,96,114,45,30,Throgs Neck-Schuylerville
36005016300,15,34,3,18,5,10,0,0,1,Crotona Park
36005016400,13,1221,224,559,523,42,65,22,10,Throgs Neck-Schuylerville
36005016500,15,1097,268,520,17,517,14,16,13,Claremont Village-Claremont (East)
36005016600,13,2625,569,1541,556,234,196,46,52,Throgs Neck-Schuylerville
36005016700,15,3373,1136,1577,65,1611,16,26,78,Claremont Village-Claremont (East)
