ct,cd,tot_pov_pop,below_pov_pop
36047090000,41,4517,1657
36047090200,41,3443,1289
36047090600,41,3476,1399
36047090800,37,5416,3147
36047091000,41,4593,2112
36047091200,41,5312,2245
36047091600,41,3664,1317
36047091800,41,2340,660
36047092000,42,2247,633
36047092200,42,2335,173
36047092400,41,2601,654
36047092800,42,2745,219
36047093000,42,3026,276
36047093200,45,1537,308
36047093400,42,2585,229
36047093600,45,1679,97
36047093800,45,2736,237
36047094401,45,3310,494
36047094402,45,3314,1024
36047094600,45,1888,93
36047095000,45,2737,235
36047095400,46,4340,350
36047095600,46,4524,482
36047095800,46,3378,365
36047096000,42,0,0
36047096200,42,1660,119
36047096400,46,2457,317
36047096600,46,2513,544
36047096800,46,1511,124
36047097000,42,2696,371
36047097400,46,2464,395
36047098200,42,4526,2109
36047098400,46,2210,74
36047098600,46,2857,260
36047098800,46,3022,168
36047099000,46,1732,316
36047099200,46,2483,274
36047099400,46,2057,159
36047099600,46,3496,189
36047099800,46,4005,179
36047100400,46,3004,242
36047100600,46,2809,281
36047100800,46,2226,152
36047101000,46,2284,470
36047101200,46,2324,203
36047101400,46,2152,172
36047101600,46,1697,38
36047101800,46,2176,105
36047102000,46,2261,74
36047102200,46,2364,83
36047102400,46,2245,309
36047102600,46,3191,295
36047102801,46,1599,117
36047102802,46,0,0
36047103401,46,4379,2049
36047103402,46,0,0
36047105801,42,6074,2206
36047105804,42,6752,1226
36047107001,42,2990,558
36047107002,42,0,0
36047107003,42,0,0
36047107800,42,4656,451
36047109800,42,2460,673
36047110400,42,4754,1007
36047110600,42,4994,2099
36047111000,42,3120,721
36047111600,42,3268,475
36047111800,42,3926,808
36047112000,42,3353,984
36047112200,42,2920,1157
36047112400,42,3938,940
36047112600,42,3952,1142
36047112800,42,4024,1590
36047113000,42,4087,783
36047113200,42,2307,276
36047113400,42,2552,859
36047114201,37,1463,185
36047114202,37,3001,866
36047114400,37,2842,987
36047114600,37,3119,755
36047115000,42,2839,461
36047115200,42,3664,554
36047115600,42,4281,1461
36047115800,42,3020,689
36047116000,42,2771,777
36047116200,42,2728,725
36047116400,42,4024,707
36047116600,42,3015,385
