ed,cd,hochul,zeldin,gov_votes,voters_nov22
63004,49,245.0,293.0,548.0,1514.0
63005,49,254.0,250.0,505.0,1705.0
63006,49,263.0,371.0,642.0,1614.0
63007,49,244.0,396.0,646.0,1512.0
63008,50,100.0,120.0,222.0,608.0
63009,50,6.0,6.0,12.0,56.0
63010,49,328.0,202.0,539.0,1090.0
63011,49,287.0,406.0,696.0,1316.0
63012,49,112.0,146.0,259.0,592.0
63013,49,184.0,137.0,327.0,893.0
63014,49,292.0,373.0,670.0,1212.0
63015,49,251.0,326.0,581.0,988.0
63016,49,342.0,340.0,685.0,1615.0
63017,49,191.0,377.0,573.0,926.0
63018,49,383.0,737.0,1131.0,1755.0
63019,49,107.0,150.0,259.0,474.0
63020,49,148.0,302.0,452.0,1007.0
63021,49,202.0,302.0,511.0,904.0
63022,49,157.0,44.0,204.0,750.0
63023,49,262.0,409.0,676.0,1652.0
63024,50,309.0,396.0,711.0,1720.0
63025,50,131.0,420.0,555.0,1065.0
63026,50,164.0,400.0,567.0,1219.0
63027,50,211.0,347.0,563.0,1175.0
63028,50,261.0,581.0,844.0,1633.0
63029,50,258.0,579.0,841.0,1329.0
63030,50,227.0,524.0,754.0,1365.0
63031,50,293.0,685.0,990.0,1595.0
63032,50,266.0,580.0,849.0,1426.0
63033,50,189.0,354.0,545.0,1051.0
63034,50,282.0,409.0,701.0,1645.0
63035,50,269.0,447.0,725.0,1604.0
63036,49,377.0,79.0,461.0,1608.0
63037,49,382.0,105.0,492.0,1617.0
63038,49,191.0,32.0,227.0,1064.0
63039,49,322.0,83.0,415.0,1535.0
63040,49,275.0,158.0,442.0,1510.0
63041,49,373.0,199.0,577.0,1581.0
63042,49,220.0,215.0,438.0,1017.0
63043,49,215.0,181.0,398.0,1215.0
63044,51,247.0,392.0,641.0,1405.0
63045,51,216.0,395.0,620.0,1299.0
63046,51,243.0,375.0,626.0,1425.0
63047,51,199.0,323.0,526.0,1445.0
63048,51,143.0,270.0,418.0,1098.0
63049,51,175.0,323.0,503.0,1194.0
63050,51,10.0,30.0,40.0,77.0
63051,50,137.0,475.0,614.0,1345.0
63052,50,224.0,534.0,762.0,1617.0
63053,50,201.0,218.0,424.0,1147.0
63054,50,187.0,435.0,624.0,1364.0
63055,50,129.0,376.0,507.0,1023.0
63056,50,208.0,413.0,624.0,1245.0
63057,50,205.0,534.0,741.0,1615.0
63058,51,235.0,495.0,738.0,1669.0
63059,50,201.0,411.0,617.0,1343.0
63060,50,137.0,631.0,769.0,1553.0
63061,51,197.0,463.0,660.0,1532.0
63062,51,190.0,339.0,530.0,1097.0
63063,51,138.0,338.0,478.0,1240.0
63064,51,149.0,333.0,483.0,1157.0
63065,50,103.0,248.0,352.0,646.0
63066,50,0.0,0.0,0.0,
63067,49,0.0,0.0,0.0,
63068,,0.0,0.0,0.0,
63069,,0.0,0.0,0.0,
63070,,0.0,0.0,0.0,
63072,50,0.0,0.0,0.0,
63073,50,0.0,0.0,0.0,
63074,51,0.0,0.0,0.0,
63075,49,70.0,77.0,147.0,423.0
63076,49,329.0,452.0,784.0,1361.0
63077,50,0.0,0.0,0.0,
63078,49,0.0,0.0,0.0,
64001,51,197.0,645.0,850.0,1622.0
64002,51,164.0,739.0,909.0,1675.0
64003,51,184.0,763.0,949.0,1634.0
64004,51,151.0,540.0,695.0,1553.0
64005,51,167.0,728.0,899.0,1665.0
64006,51,170.0,683.0,861.0,1649.0
64007,51,186.0,640.0,831.0,1560.0
64008,51,203.0,632.0,841.0,1602.0
64009,50,199.0,719.0,921.0,1553.0
64010,50,146.0,555.0,704.0,1534.0
64011,50,183.0,503.0,693.0,1558.0
64012,50,261.0,301.0,567.0,1601.0
64013,50,170.0,507.0,682.0,1632.0
64014,50,204.0,537.0,746.0,1754.0
64015,50,190.0,656.0,851.0,1579.0
64016,50,239.0,612.0,858.0,1601.0
64017,50,232.0,563.0,800.0,1608.0
64018,50,224.0,662.0,896.0,1621.0
64019,50,115.0,247.0,363.0,742.0
64020,50,6.0,22.0,28.0,60.0
64021,50,175.0,677.0,856.0,1555.0
64022,50,170.0,476.0,648.0,1568.0
64023,50,162.0,424.0,593.0,1623.0
64024,50,195.0,584.0,785.0,1587.0
64025,50,158.0,449.0,610.0,1176.0
64026,50,146.0,116.0,269.0,896.0
64027,50,199.0,454.0,655.0,1269.0
64028,50,169.0,457.0,628.0,1560.0
64029,50,169.0,525.0,696.0,1618.0
64030,50,104.0,208.0,316.0,757.0
64031,50,185.0,384.0,574.0,1229.0
64032,50,194.0,519.0,717.0,1603.0
64033,50,182.0,363.0,550.0,1236.0
64034,50,228.0,459.0,690.0,1475.0
64035,50,122.0,372.0,497.0,1047.0
64036,50,214.0,564.0,780.0,1615.0
64037,50,254.0,529.0,788.0,1662.0
64038,50,118.0,370.0,491.0,965.0
